iter	Passed	Remaining
479	610	661
480	611	660
481	612	658
482	613	656
483	614	655
484	615	653
485	620	656
486	625	658
487	629	660
488	634	663
489	638	664
490	643	666
491	647	668
492	651	670
493	656	672
494	660	674
495	664	675
496	667	675
497	669	674
498	671	674
499	673	673
500	675	673
501	677	672
502	679	671
503	680	670
504	682	668
505	684	667
506	685	666
507	686	664
508	687	663
509	689	662
510	690	660
511	691	658
512	692	657
513	693	655
514	694	654
515	695	652
516	696	650
517	697	649
518	698	647
519	699	645
520	700	644
521	701	642
522	702	640
523	703	639
524	704	637
525	705	635
526	706	634
527	708	632
528	709	631
529	710	629
530	711	628
531	712	626
532	713	625
533	714	623
534	715	621
535	716	620
536	717	618
537	718	616
538	719	614
539	719	613
540	720	611
541	721	609
542	722	608
543	723	606
544	724	604
545	725	603
546	726	601
547	727	599
548	728	598
549	729	596
550	730	595
551	731	593
552	732	591
553	732	590
554	733	588
555	734	586
556	735	585
557	736	583
558	737	581
559	738	580
560	739	578
561	740	576
562	741	575
563	742	573
564	742	571
565	743	570
566	744	568
567	745	567
568	746	565
569	747	563
570	748	562
571	749	560
572	750	559
573	751	557
574	752	555
575	753	554
576	753	552
577	754	551
578	755	549
579	756	548
580	757	546
581	758	544
582	759	543
583	760	541
584	761	540
585	762	538
586	763	537
587	764	535
588	765	533
589	765	532
590	766	530
591	767	529
592	768	527
593	769	526
594	770	524
595	771	522
596	772	521
597	773	519
598	774	518
599	775	516
600	776	515
601	776	513
602	777	512
603	778	510
604	779	509
605	780	507
606	781	505
607	782	504
608	783	502
609	784	501
610	785	499
611	786	498
612	787	496
613	788	495
614	789	493
615	789	492
616	790	490
617	791	489
618	792	487
619	793	486
620	794	484
621	795	483
622	796	481
623	797	480
624	798	478
625	799	477
626	800	475
627	801	474
628	801	473
629	802	471
630	803	470
631	804	468
632	805	467
633	806	465
634	807	464
635	808	462
636	809	461
637	810	459
638	811	458
639	812	456
640	813	455
641	813	453
642	814	452
643	815	450
644	816	449
645	817	448
646	818	446
647	819	445
648	820	443
649	821	442
650	822	440
651	823	439
652	824	437
653	825	436
654	826	435
655	827	433
656	827	432
657	828	430
658	829	429
659	830	427
660	831	426
661	832	425
662	833	423
663	834	422
664	835	420
665	836	419
666	837	418
667	838	416
668	839	415
669	840	413
670	841	412
671	842	411
672	843	409
673	844	408
674	845	406
675	846	405
676	847	404
677	848	402
678	849	401
679	849	399
680	850	398
681	851	397
682	852	395
683	853	394
684	854	393
685	855	391
686	856	390
687	857	388
688	858	387
689	859	386
690	860	384
691	861	383
692	862	381
693	863	380
694	863	379
695	864	377
696	865	376
697	866	375
698	867	373
699	868	372
700	869	370
701	870	369
702	871	368
703	872	366
704	873	365
705	874	364
706	875	362
707	875	361
708	876	359
709	877	358
710	878	357
711	879	355
712	880	354
713	881	353
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	887	345
720	888	343
721	889	342
722	889	340
723	890	339
724	891	338
725	892	336
726	893	335
727	894	334
728	895	332
729	896	331
730	897	330
731	898	328
732	899	327
733	900	326
734	901	325
735	902	323
736	903	322
737	904	321
738	905	319
739	906	318
740	907	317
741	908	315
742	909	314
743	910	313
744	910	311
745	911	310
746	912	309
747	913	307
748	914	306
749	915	305
750	916	303
751	917	302
752	918	301
753	919	300
754	920	298
755	921	297
756	922	296
757	923	294
758	924	293
759	925	292
760	926	290
761	927	289
762	928	288
763	929	286
764	929	285
765	930	284
766	931	283
767	932	281
768	933	280
769	934	279
770	935	277
771	936	276
772	937	275
773	938	274
774	939	272
775	940	271
776	941	270
777	942	268
778	943	267
779	944	266
780	944	264
781	945	263
782	946	262
783	947	261
784	948	259
785	949	258
786	950	257
787	951	256
788	952	254
789	953	253
790	954	252
791	955	250
792	956	249
793	957	248
794	958	247
795	959	245
796	960	244
797	961	243
798	961	241
799	962	240
800	963	239
801	964	238
802	965	236
803	966	235
804	967	234
805	968	233
806	969	231
807	970	230
808	971	229
809	972	228
810	973	226
811	974	225
812	975	224
813	976	223
814	977	221
815	978	220
816	979	219
817	979	218
818	980	216
819	981	215
820	982	214
821	983	213
822	984	211
823	985	210
824	986	209
825	987	208
826	988	206
827	989	205
828	990	204
829	991	203
830	992	201
831	993	200
832	994	199
833	995	198
834	996	196
835	996	195
836	997	194
837	998	193
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1004	185
844	1005	184
845	1006	183
846	1007	181
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1016	170
856	1017	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1024	161
864	1025	159
865	1026	158
866	1027	157
867	1027	156
868	1028	155
869	1029	153
870	1030	152
871	1031	151
872	1032	150
873	1033	149
874	1034	147
875	1035	146
876	1036	145
877	1037	144
878	1038	142
879	1039	141
880	1040	140
881	1041	139
882	1042	138
883	1042	136
884	1043	135
885	1044	134
886	1045	133
887	1046	132
888	1047	130
889	1048	129
890	1049	128
891	1050	127
892	1051	126
893	1052	124
894	1053	123
895	1054	122
896	1055	121
897	1056	119
898	1057	118
899	1058	117
900	1059	116
901	1060	115
902	1060	113
903	1061	112
904	1062	111
905	1063	110
906	1064	109
907	1065	107
908	1066	106
909	1067	105
910	1068	104
911	1069	103
912	1070	102
913	1071	100
914	1072	99
915	1073	98
916	1074	97
917	1075	96
918	1076	94
919	1077	93
920	1078	92
921	1079	91
922	1079	90
923	1080	88
924	1081	87
925	1082	86
926	1083	85
927	1084	84
928	1085	82
929	1086	81
930	1087	80
931	1088	79
932	1089	78
933	1090	77
934	1091	75
935	1092	74
936	1092	73
937	1093	72
938	1094	71
939	1095	69
940	1096	68
941	1097	67
